accession,cik,form_type,filing_date,fiscal_year,sec_url,xbrl_available,report_date,primary_document,fiscal_period
0000320193-26-000020,320193,10-Q,2026-07-31,2026,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000020-index.html,True,,,
0000320193-26-000018,320193,8-K,2026-07-30,2026,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000018-index.html,False,,,
0001140361-26-025622,320193,4,2026-06-17,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-025622-index.html,False,,,
0001140361-26-025620,320193,4,2026-06-17,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-025620-index.html,False,,,
0001140361-26-023363,320193,4,2026-05-29,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-023363-index.html,False,2026-05-27,xslF345X06/form4.xml,
0001140361-26-020871,320193,4,2026-05-12,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-020871-index.html,False,2026-05-08,xslF345X06/form4.xml,
0001140361-26-020298,320193,4,2026-05-08,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-020298-index.html,False,2026-05-06,xslF345X06/form4.xml,
0000320193-26-000013,320193,10-Q,2026-05-01,2026,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000013-index.html,True,2026-03-28,aapl-20260328.htm,Q1
0000320193-26-000011,320193,8-K,2026-04-30,2026,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000011-index.html,False,2026-04-30,aapl-20260430.htm,
0001140361-26-017175,320193,4,2026-04-27,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-017175-index.html,False,2026-04-23,xslF345X06/form4.xml,
0001140361-26-015711,320193,8-K,2026-04-20,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-015711-index.html,False,2026-04-17,ef20071035_8k.htm,
0001140361-26-015421,320193,4,2026-04-17,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-015421-index.html,False,2026-04-15,xslF345X06/form4.xml,
0001140361-26-015420,320193,4,2026-04-17,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-015420-index.html,False,2026-04-15,xslF345X06/form4.xml,
0001140361-26-013192,320193,4,2026-04-03,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-013192-index.html,False,2026-04-01,xslF345X06/form4.xml,
0001140361-26-013191,320193,4,2026-04-03,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-013191-index.html,False,2026-04-01,xslF345X06/form4.xml,
0001140361-26-013190,320193,4,2026-04-03,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-013190-index.html,False,2026-04-01,xslF345X06/form4.xml,
0001780525-26-000005,320193,4,2026-03-17,2026,https://www.sec.gov/Archives/edgar/data/320193/0001780525-26-000005-index.html,False,2026-03-15,xslF345X05/wk-form4_1773786674.xml,
0001690882-26-000004,320193,4,2026-02-26,2026,https://www.sec.gov/Archives/edgar/data/320193/0001690882-26-000004-index.html,False,2026-02-24,xslF345X05/wk-form4_1772148630.xml,
0001453149-26-000005,320193,4,2026-02-26,2026,https://www.sec.gov/Archives/edgar/data/320193/0001453149-26-000005-index.html,False,2026-02-24,xslF345X05/wk-form4_1772148681.xml,
0001216519-26-000004,320193,4,2026-02-26,2026,https://www.sec.gov/Archives/edgar/data/320193/0001216519-26-000004-index.html,False,2026-02-24,xslF345X05/wk-form4_1772148826.xml,
0001214128-26-000004,320193,4,2026-02-26,2026,https://www.sec.gov/Archives/edgar/data/320193/0001214128-26-000004-index.html,False,2026-02-24,xslF345X05/wk-form4_1772148758.xml,
0001179864-26-000004,320193,4,2026-02-26,2026,https://www.sec.gov/Archives/edgar/data/320193/0001179864-26-000004-index.html,False,2026-02-24,xslF345X05/wk-form4_1772148791.xml,
0001059235-26-000004,320193,4,2026-02-26,2026,https://www.sec.gov/Archives/edgar/data/320193/0001059235-26-000004-index.html,False,2026-02-24,xslF345X05/wk-form4_1772148856.xml,
0001051401-26-000004,320193,4,2026-02-26,2026,https://www.sec.gov/Archives/edgar/data/320193/0001051401-26-000004-index.html,False,2026-02-24,xslF345X05/wk-form4_1772148721.xml,
0001140361-26-006577,320193,8-K,2026-02-24,2026,https://www.sec.gov/Archives/edgar/data/320193/0001140361-26-006577-index.html,False,2026-02-24,ef20060722_8k.htm,
0001690882-26-000002,320193,4,2026-02-03,2026,https://www.sec.gov/Archives/edgar/data/320193/0001690882-26-000002-index.html,False,2026-02-01,xslF345X05/wk-form4_1770161527.xml,
0001453149-26-000003,320193,4,2026-02-03,2026,https://www.sec.gov/Archives/edgar/data/320193/0001453149-26-000003-index.html,False,2026-02-01,xslF345X05/wk-form4_1770161602.xml,
0001216519-26-000002,320193,4,2026-02-03,2026,https://www.sec.gov/Archives/edgar/data/320193/0001216519-26-000002-index.html,False,2026-02-01,xslF345X05/wk-form4_1770161790.xml,
0001214128-26-000002,320193,4,2026-02-03,2026,https://www.sec.gov/Archives/edgar/data/320193/0001214128-26-000002-index.html,False,2026-02-01,xslF345X05/wk-form4_1770161713.xml,
0001179864-26-000002,320193,4,2026-02-03,2026,https://www.sec.gov/Archives/edgar/data/320193/0001179864-26-000002-index.html,False,2026-02-01,xslF345X05/wk-form4_1770161752.xml,
