concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123667,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,116996000000.0,116996000000,USD,2026-06-27,Q3,2026,2025-09-28,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123666,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,82627000000.0,82627000000,USD,2026-03-28,Q2,2026,2025-09-28,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123665,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,53925000000.0,53925000000,USD,2025-12-27,Q1,2026,2025-09-28,duration,CashFlowStatement,false,high,0.9,0000320193-26-000013,10-Q,2026-05-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000013-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123664,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,111482000000.0,111482000000,USD,2025-09-27,FY,2025,2024-09-29,duration,CashFlowStatement,true,high,0.9,0000320193-25-000079,10-K,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123662,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,81754000000.0,81754000000,USD,2025-06-28,Q3,2025,2024-09-29,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123663,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,81754000000.0,81754000000,USD,2025-06-28,Q3,2026,2024-09-29,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123660,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,53887000000.0,53887000000,USD,2025-03-29,Q2,2025,2024-09-29,duration,CashFlowStatement,false,high,0.9,0000320193-25-000073,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000073-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123661,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,53887000000.0,53887000000,USD,2025-03-29,Q2,2026,2024-09-29,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123658,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,29935000000.0,29935000000,USD,2024-12-28,Q1,2025,2024-09-29,duration,CashFlowStatement,false,high,0.9,0000320193-25-000057,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000057-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123659,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,29935000000.0,29935000000,USD,2024-12-28,Q1,2026,2024-09-29,duration,CashFlowStatement,false,high,0.9,0000320193-26-000013,10-Q,2026-05-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000013-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123656,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,118254000000.0,118254000000,USD,2024-09-28,FY,2024,2023-10-01,duration,CashFlowStatement,true,high,0.9,0000320193-24-000123,10-K,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-24-000123-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123657,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,118254000000.0,118254000000,USD,2024-09-28,FY,2025,2023-10-01,duration,CashFlowStatement,true,high,0.9,0000320193-25-000079,10-K,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123654,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,91443000000.0,91443000000,USD,2024-06-29,Q3,2024,2023-10-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123655,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,91443000000.0,91443000000,USD,2024-06-29,Q3,2025,2023-10-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123652,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,62585000000.0,62585000000,USD,2024-03-30,Q2,2024,2023-10-01,duration,CashFlowStatement,false,high,0.9,0000320193-24-000081,10-Q,2024-08-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-24-000081-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123653,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,62585000000.0,62585000000,USD,2024-03-30,Q2,2025,2023-10-01,duration,CashFlowStatement,false,high,0.9,0000320193-25-000073,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000073-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123650,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,39895000000.0,39895000000,USD,2023-12-30,Q1,2024,2023-10-01,duration,CashFlowStatement,false,high,0.9,0000320193-24-000069,10-Q,2024-05-03,https://www.sec.gov/Archives/edgar/data/320193/0000320193-24-000069-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123651,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,39895000000.0,39895000000,USD,2023-12-30,Q1,2025,2023-10-01,duration,CashFlowStatement,false,high,0.9,0000320193-25-000057,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000057-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123647,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,110543000000.0,110543000000,USD,2023-09-30,FY,2023,2022-09-25,duration,CashFlowStatement,true,high,0.9,0000320193-23-000106,10-K,2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000106-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123648,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,110543000000.0,110543000000,USD,2023-09-30,FY,2024,2022-09-25,duration,CashFlowStatement,true,high,0.9,0000320193-24-000123,10-K,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-24-000123-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123649,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,110543000000.0,110543000000,USD,2023-09-30,FY,2025,2022-09-25,duration,CashFlowStatement,true,high,0.9,0000320193-25-000079,10-K,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123645,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,88945000000.0,88945000000,USD,2023-07-01,Q3,2023,2022-09-25,duration,CashFlowStatement,false,high,0.9,0000320193-23-000077,10-Q,2023-08-04,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000077-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123646,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,88945000000.0,88945000000,USD,2023-07-01,Q3,2024,2022-09-25,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123643,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,62565000000.0,62565000000,USD,2023-04-01,Q2,2023,2022-09-25,duration,CashFlowStatement,false,high,0.9,0000320193-23-000064,10-Q,2023-05-05,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000064-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59123644,320193,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,62565000000.0,62565000000,USD,2023-04-01,Q2,2024,2022-09-25,duration,CashFlowStatement,false,high,0.9,0000320193-24-000081,10-Q,2024-08-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-24-000081-index.html
