concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetIncomeLoss,59122921,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,101464000000.0,101464000000,USD,2026-06-27,Q3,2026,2025-09-28,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59122922,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,29789000000.0,29789000000,USD,2026-06-27,Q3,2026,2026-03-29,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59122919,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,71675000000.0,71675000000,USD,2026-03-28,Q2,2026,2025-09-28,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59122920,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,29578000000.0,29578000000,USD,2026-03-28,Q2,2026,2025-12-28,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59122918,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,42097000000.0,42097000000,USD,2025-12-27,Q1,2026,2025-09-28,duration,IncomeStatement,false,high,0.9,0000320193-26-000013,10-Q,2026-05-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000013-index.html
us-gaap:NetIncomeLoss,59122917,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,112010000000.0,112010000000,USD,2025-09-27,FY,2025,2024-09-29,duration,IncomeStatement,true,high,0.9,0000320193-25-000079,10-K,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079-index.html
us-gaap:NetIncomeLoss,59122913,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,84544000000.0,84544000000,USD,2025-06-28,Q3,2025,2024-09-29,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59122914,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,84544000000.0,84544000000,USD,2025-06-28,Q3,2026,2024-09-29,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59122915,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,23434000000.0,23434000000,USD,2025-06-28,Q3,2025,2025-03-30,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59122916,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,23434000000.0,23434000000,USD,2025-06-28,Q3,2026,2025-03-30,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59122909,320193,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,61110000000.0,61110000000,USD,2025-03-29,Q2,2025,2024-09-29,duration,IncomeStatement,false,high,0.9,0000320193-25-000073,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000073-index.html
