concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122412,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",364357000000.0,364357000000,USD,2026-06-27,Q3,2026,2025-09-28,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122413,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",109417000000.0,109417000000,USD,2026-06-27,Q3,2026,2026-03-29,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122410,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",254940000000.0,254940000000,USD,2026-03-28,Q2,2026,2025-09-28,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122411,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",111184000000.0,111184000000,USD,2026-03-28,Q2,2026,2025-12-28,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122409,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",143756000000.0,143756000000,USD,2025-12-27,Q1,2026,2025-09-28,duration,IncomeStatement,false,high,0.9,0000320193-26-000013,10-Q,2026-05-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000013-index.html
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122408,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",416161000000.0,416161000000,USD,2025-09-27,FY,2025,2024-09-29,duration,IncomeStatement,true,high,0.9,0000320193-25-000079,10-K,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079-index.html
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122404,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",313695000000.0,313695000000,USD,2025-06-28,Q3,2025,2024-09-29,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122405,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",313695000000.0,313695000000,USD,2025-06-28,Q3,2026,2024-09-29,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122406,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",94036000000.0,94036000000,USD,2025-06-28,Q3,2025,2025-03-30,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,59122407,320193,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",94036000000.0,94036000000,USD,2025-06-28,Q3,2026,2025-03-30,duration,IncomeStatement,false,high,0.9,,,,
