concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:Assets,59123062,320193,us-gaap:Assets,Assets,383266000000.0,383266000000,USD,2026-06-27,Q3,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59123061,320193,us-gaap:Assets,Assets,371082000000.0,371082000000,USD,2026-03-28,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59123060,320193,us-gaap:Assets,Assets,379297000000.0,379297000000,USD,2025-12-27,Q1,2026,instant,BalanceSheet,false,high,0.9,0000320193-26-000013,10-Q,2026-05-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000013-index.html
us-gaap:Assets,59123056,320193,us-gaap:Assets,Assets,359241000000.0,359241000000,USD,2025-09-27,FY,2025,instant,BalanceSheet,true,high,0.9,0000320193-25-000079,10-K,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079-index.html
us-gaap:Assets,59123057,320193,us-gaap:Assets,Assets,359241000000.0,359241000000,USD,2025-09-27,Q1,2026,instant,BalanceSheet,false,high,0.9,0000320193-26-000013,10-Q,2026-05-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-26-000013-index.html
us-gaap:Assets,59123058,320193,us-gaap:Assets,Assets,359241000000.0,359241000000,USD,2025-09-27,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59123059,320193,us-gaap:Assets,Assets,359241000000.0,359241000000,USD,2025-09-27,Q3,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59123055,320193,us-gaap:Assets,Assets,331495000000.0,331495000000,USD,2025-06-28,Q3,2025,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59123054,320193,us-gaap:Assets,Assets,331233000000.0,331233000000,USD,2025-03-29,Q2,2025,instant,BalanceSheet,false,high,0.9,0000320193-25-000073,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000073-index.html
us-gaap:Assets,59123053,320193,us-gaap:Assets,Assets,344085000000.0,344085000000,USD,2024-12-28,Q1,2025,instant,BalanceSheet,false,high,0.9,0000320193-25-000057,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000057-index.html
us-gaap:Assets,59123048,320193,us-gaap:Assets,Assets,364980000000.0,364980000000,USD,2024-09-28,FY,2024,instant,BalanceSheet,true,high,0.9,0000320193-24-000123,10-K,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-24-000123-index.html
us-gaap:Assets,59123049,320193,us-gaap:Assets,Assets,364980000000.0,364980000000,USD,2024-09-28,Q1,2025,instant,BalanceSheet,false,high,0.9,0000320193-25-000057,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000057-index.html
us-gaap:Assets,59123050,320193,us-gaap:Assets,Assets,364980000000.0,364980000000,USD,2024-09-28,Q2,2025,instant,BalanceSheet,false,high,0.9,0000320193-25-000073,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000073-index.html
us-gaap:Assets,59123051,320193,us-gaap:Assets,Assets,364980000000.0,364980000000,USD,2024-09-28,Q3,2025,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59123052,320193,us-gaap:Assets,Assets,364980000000.0,364980000000,USD,2024-09-28,FY,2025,instant,BalanceSheet,true,high,0.9,0000320193-25-000079,10-K,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079-index.html
us-gaap:Assets,59123047,320193,us-gaap:Assets,Assets,331612000000.0,331612000000,USD,2024-06-29,Q3,2024,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59123046,320193,us-gaap:Assets,Assets,337411000000.0,337411000000,USD,2024-03-30,Q2,2024,instant,BalanceSheet,false,high,0.9,0000320193-24-000081,10-Q,2024-08-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-24-000081-index.html
