accession,cik,form_type,filing_date,fiscal_year,sec_url,xbrl_available,report_date,primary_document,fiscal_period
0001104659-26-092052,1018724,13F-HR,2026-08-06,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-26-092052-index.html,False,,,
0001018724-26-000030,1018724,4,2026-08-05,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000030-index.html,False,,,
0001018724-26-000028,1018724,4,2026-08-05,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000028-index.html,False,,,
0001018724-26-000026,1018724,10-Q,2026-07-31,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000026-index.html,True,,,
0001018724-26-000024,1018724,8-K,2026-07-30,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000024-index.html,False,,,
0001104659-26-082293,1018724,8-K,2026-07-09,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-26-082293-index.html,False,,,
0001018724-26-000022,1018724,4,2026-07-02,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000022-index.html,False,,,
0001104659-26-073562,1018724,8-K,2026-06-12,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-26-073562-index.html,False,,,
0002024813-26-000008,1018724,4,2026-05-26,2026,https://www.sec.gov/Archives/edgar/data/1018724/0002024813-26-000008-index.html,False,2026-05-21,xslF345X06/wk-form4_1779835185.xml,
0001639902-26-000006,1018724,4,2026-05-26,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001639902-26-000006-index.html,False,2026-05-21,xslF345X06/wk-form4_1779833908.xml,
0001557979-26-000006,1018724,4,2026-05-26,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001557979-26-000006-index.html,False,2026-05-21,xslF345X06/wk-form4_1779834363.xml,
0001374545-26-000008,1018724,4,2026-05-26,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001374545-26-000008-index.html,False,2026-05-21,xslF345X06/wk-form4_1779835625.xml,
0001018724-26-000020,1018724,4,2026-05-26,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000020-index.html,False,2026-05-21,xslF345X06/wk-form4_1779834787.xml,
0001018724-26-000018,1018724,4,2026-05-26,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000018-index.html,False,2026-05-21,xslF345X06/wk-form4_1779833555.xml,
0001104659-26-065717,1018724,8-K,2026-05-22,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-26-065717-index.html,False,2026-05-20,tm2614288d1_8k.htm,
0002024813-26-000006,1018724,4,2026-05-19,2026,https://www.sec.gov/Archives/edgar/data/1018724/0002024813-26-000006-index.html,False,2026-05-15,xslF345X06/wk-form4_1779225197.xml,
0001936006-26-000016,1018724,4,2026-05-19,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001936006-26-000016-index.html,False,2026-05-15,xslF345X06/wk-form4_1779224693.xml,
0001851101-26-000002,1018724,4,2026-05-19,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001851101-26-000002-index.html,False,2026-05-15,xslF345X06/wk-form4_1779224183.xml,
0001183818-26-000005,1018724,4,2026-05-19,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001183818-26-000005-index.html,False,2026-05-15,xslF345X06/wk-form4_1779223704.xml,
0001374545-26-000006,1018724,4,2026-05-06,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001374545-26-000006-index.html,False,2026-05-04,xslF345X06/wk-form4_1778100121.xml,
0001936006-26-000014,1018724,4,2026-05-05,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001936006-26-000014-index.html,False,2026-05-01,xslF345X06/wk-form4_1778013858.xml,
0001104659-26-055638,1018724,13F-HR,2026-05-05,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-26-055638-index.html,False,2026-03-31,xslForm13F_X02/primary_doc.xml,
0001018724-26-000016,1018724,4,2026-05-05,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000016-index.html,False,2026-05-01,xslF345X06/wk-form4_1778013416.xml,
0001209522-26-000008,1018724,4,2026-05-04,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001209522-26-000008-index.html,False,2026-04-30,xslF345X06/wk-form4_1777928327.xml,
0001018724-26-000014,1018724,10-Q,2026-04-30,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html,True,2026-03-31,amzn-20260331.htm,Q1
0001018724-26-000012,1018724,8-K,2026-04-29,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000012-index.html,False,2026-04-29,amzn-20260429.htm,
0001209522-26-000006,1018724,4,2026-04-28,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001209522-26-000006-index.html,False,2026-04-24,xslF345X06/wk-form4_1777408932.xml,
0001374545-26-000004,1018724,4,2026-04-21,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001374545-26-000004-index.html,False,2026-04-17,xslF345X06/wk-form4_1776804668.xml,
0001936006-26-000012,1018724,4,2026-04-16,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001936006-26-000012-index.html,False,2026-04-14,xslF345X06/wk-form4_1776377549.xml,
0001104659-26-042880,1018724,8-K,2026-04-14,2026,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-26-042880-index.html,False,2026-04-14,tm2611746d1_8k.htm,
