concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092743,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,161403000000.0,161403000000,USD,2026-06-30,Q2,2026,2025-07-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092744,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,71419000000.0,71419000000,USD,2026-06-30,Q2,2026,2026-01-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092745,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,45387000000.0,45387000000,USD,2026-06-30,Q2,2026,2026-04-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092741,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,148531000000.0,148531000000,USD,2026-03-31,Q1,2026,2025-04-01,duration,CashFlowStatement,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092742,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,26032000000.0,26032000000,USD,2026-03-31,Q1,2026,2026-01-01,duration,CashFlowStatement,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092740,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,139514000000.0,139514000000,USD,2025-12-31,FY,2025,2025-01-01,duration,CashFlowStatement,true,high,0.9,0001018724-26-000004,10-K,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000004-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092737,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,130691000000.0,130691000000,USD,2025-09-30,Q3,2025,2024-10-01,duration,CashFlowStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092738,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,85055000000.0,85055000000,USD,2025-09-30,Q3,2025,2025-01-01,duration,CashFlowStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092739,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,35525000000.0,35525000000,USD,2025-09-30,Q3,2025,2025-07-01,duration,CashFlowStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092731,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,121137000000.0,121137000000,USD,2025-06-30,Q2,2025,2024-07-01,duration,CashFlowStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092732,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,121137000000.0,121137000000,USD,2025-06-30,Q2,2026,2024-07-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092733,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,49530000000.0,49530000000,USD,2025-06-30,Q2,2025,2025-01-01,duration,CashFlowStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092734,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,49530000000.0,49530000000,USD,2025-06-30,Q2,2026,2025-01-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092735,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,32515000000.0,32515000000,USD,2025-06-30,Q2,2025,2025-04-01,duration,CashFlowStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092736,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,32515000000.0,32515000000,USD,2025-06-30,Q2,2026,2025-04-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092727,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,113903000000.0,113903000000,USD,2025-03-31,Q1,2025,2024-04-01,duration,CashFlowStatement,false,high,0.9,0001018724-25-000036,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092728,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,113903000000.0,113903000000,USD,2025-03-31,Q1,2026,2024-04-01,duration,CashFlowStatement,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,59092729,1018724,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,17015000000.0,17015000000,USD,2025-03-31,Q1,2025,2025-01-01,duration,CashFlowStatement,false,high,0.9,0001018724-25-000036,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html
