concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetIncomeLoss,59090728,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,135281000000.0,135281000000,USD,2026-06-30,Q2,2026,2025-07-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59090729,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,92902000000.0,92902000000,USD,2026-06-30,Q2,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59090730,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,62647000000.0,62647000000,USD,2026-06-30,Q2,2026,2026-04-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59090726,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,90798000000.0,90798000000,USD,2026-03-31,Q1,2026,2025-04-01,duration,IncomeStatement,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:NetIncomeLoss,59090727,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,30255000000.0,30255000000,USD,2026-03-31,Q1,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:NetIncomeLoss,59090725,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,77670000000.0,77670000000,USD,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9,0001018724-26-000004,10-K,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000004-index.html
us-gaap:NetIncomeLoss,59090722,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,76482000000.0,76482000000,USD,2025-09-30,Q3,2025,2024-10-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetIncomeLoss,59090723,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,56478000000.0,56478000000,USD,2025-09-30,Q3,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetIncomeLoss,59090724,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,21187000000.0,21187000000,USD,2025-09-30,Q3,2025,2025-07-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetIncomeLoss,59090716,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,70623000000.0,70623000000,USD,2025-06-30,Q2,2025,2024-07-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetIncomeLoss,59090717,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,70623000000.0,70623000000,USD,2025-06-30,Q2,2026,2024-07-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59090718,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,35291000000.0,35291000000,USD,2025-06-30,Q2,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetIncomeLoss,59090719,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,35291000000.0,35291000000,USD,2025-06-30,Q2,2026,2025-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59090720,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,18164000000.0,18164000000,USD,2025-06-30,Q2,2025,2025-04-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetIncomeLoss,59090721,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,18164000000.0,18164000000,USD,2025-06-30,Q2,2026,2025-04-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,59090712,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,65944000000.0,65944000000,USD,2025-03-31,Q1,2025,2024-04-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000036,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html
us-gaap:NetIncomeLoss,59090713,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,65944000000.0,65944000000,USD,2025-03-31,Q1,2026,2024-04-01,duration,IncomeStatement,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:NetIncomeLoss,59090714,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,17127000000.0,17127000000,USD,2025-03-31,Q1,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000036,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html
us-gaap:NetIncomeLoss,59090715,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,17127000000.0,17127000000,USD,2025-03-31,Q1,2026,2025-01-01,duration,IncomeStatement,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:NetIncomeLoss,59090710,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,59248000000.0,59248000000,USD,2024-12-31,FY,2024,2024-01-01,duration,IncomeStatement,true,high,0.9,0001018724-25-000004,10-K,2025-02-07,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000004-index.html
us-gaap:NetIncomeLoss,59090711,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,59248000000.0,59248000000,USD,2024-12-31,FY,2025,2024-01-01,duration,IncomeStatement,true,high,0.9,0001018724-26-000004,10-K,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000004-index.html
us-gaap:NetIncomeLoss,59090704,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,49868000000.0,49868000000,USD,2024-09-30,Q3,2024,2023-10-01,duration,IncomeStatement,false,high,0.9,0001018724-24-000161,10-Q,2024-11-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000161-index.html
us-gaap:NetIncomeLoss,59090705,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,49868000000.0,49868000000,USD,2024-09-30,Q3,2025,2023-10-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetIncomeLoss,59090706,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,39244000000.0,39244000000,USD,2024-09-30,Q3,2024,2024-01-01,duration,IncomeStatement,false,high,0.9,0001018724-24-000161,10-Q,2024-11-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000161-index.html
us-gaap:NetIncomeLoss,59090707,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,39244000000.0,39244000000,USD,2024-09-30,Q3,2025,2024-01-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetIncomeLoss,59090708,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,15328000000.0,15328000000,USD,2024-09-30,Q3,2024,2024-07-01,duration,IncomeStatement,false,high,0.9,0001018724-24-000161,10-Q,2024-11-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000161-index.html
us-gaap:NetIncomeLoss,59090709,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,15328000000.0,15328000000,USD,2024-09-30,Q3,2025,2024-07-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:NetIncomeLoss,59090698,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,44419000000.0,44419000000,USD,2024-06-30,Q2,2024,2023-07-01,duration,IncomeStatement,false,high,0.9,0001018724-24-000130,10-Q,2024-08-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000130-index.html
us-gaap:NetIncomeLoss,59090699,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,44419000000.0,44419000000,USD,2024-06-30,Q2,2025,2023-07-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetIncomeLoss,59090700,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,23916000000.0,23916000000,USD,2024-06-30,Q2,2024,2024-01-01,duration,IncomeStatement,false,high,0.9,0001018724-24-000130,10-Q,2024-08-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000130-index.html
us-gaap:NetIncomeLoss,59090701,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,23916000000.0,23916000000,USD,2024-06-30,Q2,2025,2024-01-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetIncomeLoss,59090702,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,13485000000.0,13485000000,USD,2024-06-30,Q2,2024,2024-04-01,duration,IncomeStatement,false,high,0.9,0001018724-24-000130,10-Q,2024-08-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000130-index.html
us-gaap:NetIncomeLoss,59090703,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,13485000000.0,13485000000,USD,2024-06-30,Q2,2025,2024-04-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:NetIncomeLoss,59090694,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,37684000000.0,37684000000,USD,2024-03-31,Q1,2024,2023-04-01,duration,IncomeStatement,false,high,0.9,0001018724-24-000083,10-Q,2024-05-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000083-index.html
us-gaap:NetIncomeLoss,59090695,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,37684000000.0,37684000000,USD,2024-03-31,Q1,2025,2023-04-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000036,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html
us-gaap:NetIncomeLoss,59090696,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,10431000000.0,10431000000,USD,2024-03-31,Q1,2024,2024-01-01,duration,IncomeStatement,false,high,0.9,0001018724-24-000083,10-Q,2024-05-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000083-index.html
us-gaap:NetIncomeLoss,59090697,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,10431000000.0,10431000000,USD,2024-03-31,Q1,2025,2024-01-01,duration,IncomeStatement,false,high,0.9,0001018724-25-000036,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html
us-gaap:NetIncomeLoss,59090691,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,30425000000.0,30425000000,USD,2023-12-31,FY,2023,2023-01-01,duration,IncomeStatement,true,high,0.9,0001018724-24-000008,10-K,2024-02-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000008-index.html
us-gaap:NetIncomeLoss,59090692,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,30425000000.0,30425000000,USD,2023-12-31,FY,2024,2023-01-01,duration,IncomeStatement,true,high,0.9,0001018724-25-000004,10-K,2025-02-07,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000004-index.html
us-gaap:NetIncomeLoss,59090693,1018724,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,30425000000.0,30425000000,USD,2023-12-31,FY,2025,2023-01-01,duration,IncomeStatement,true,high,0.9,0001018724-26-000004,10-K,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000004-index.html
