concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:Assets,59090879,1018724,us-gaap:Assets,Assets,1095689000000.0,1095689000000,USD,2026-06-30,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59090878,1018724,us-gaap:Assets,Assets,916630000000.0,916630000000,USD,2026-03-31,Q1,2026,instant,BalanceSheet,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:Assets,59090875,1018724,us-gaap:Assets,Assets,818042000000.0,818042000000,USD,2025-12-31,FY,2025,instant,BalanceSheet,true,high,0.9,0001018724-26-000004,10-K,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000004-index.html
us-gaap:Assets,59090876,1018724,us-gaap:Assets,Assets,818042000000.0,818042000000,USD,2025-12-31,Q1,2026,instant,BalanceSheet,false,high,0.9,0001018724-26-000014,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-26-000014-index.html
us-gaap:Assets,59090877,1018724,us-gaap:Assets,Assets,818042000000.0,818042000000,USD,2025-12-31,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,59090874,1018724,us-gaap:Assets,Assets,727921000000.0,727921000000,USD,2025-09-30,Q3,2025,instant,BalanceSheet,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
us-gaap:Assets,59090873,1018724,us-gaap:Assets,Assets,682170000000.0,682170000000,USD,2025-06-30,Q2,2025,instant,BalanceSheet,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:Assets,59090872,1018724,us-gaap:Assets,Assets,643256000000.0,643256000000,USD,2025-03-31,Q1,2025,instant,BalanceSheet,false,high,0.9,0001018724-25-000036,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html
us-gaap:Assets,59090867,1018724,us-gaap:Assets,Assets,624894000000.0,624894000000,USD,2024-12-31,FY,2024,instant,BalanceSheet,true,high,0.9,0001018724-25-000004,10-K,2025-02-07,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000004-index.html
us-gaap:Assets,59090868,1018724,us-gaap:Assets,Assets,624894000000.0,624894000000,USD,2024-12-31,Q1,2025,instant,BalanceSheet,false,high,0.9,0001018724-25-000036,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html
us-gaap:Assets,59090869,1018724,us-gaap:Assets,Assets,624894000000.0,624894000000,USD,2024-12-31,Q2,2025,instant,BalanceSheet,false,high,0.9,0001018724-25-000086,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000086-index.html
us-gaap:Assets,59090870,1018724,us-gaap:Assets,Assets,624894000000.0,624894000000,USD,2024-12-31,Q3,2025,instant,BalanceSheet,false,high,0.9,0001018724-25-000123,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html
