accession,cik,form_type,filing_date,fiscal_year,sec_url,xbrl_available
0001652044-26-000073,1652044,13F-HR,2026-08-07,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000073-index.html,False
0001193125-26-338824,1652044,4,2026-08-06,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-338824-index.html,False
0001193125-26-324312,1652044,4,2026-07-29,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-324312-index.html,False
0001168404-26-000041,1652044,4,2026-07-29,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001168404-26-000041-index.html,False
0001193125-26-321684,1652044,4,2026-07-28,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-321684-index.html,False
0001193125-26-321683,1652044,4,2026-07-28,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-321683-index.html,False
0001193125-26-321678,1652044,4,2026-07-28,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-321678-index.html,False
0001193125-26-321676,1652044,4,2026-07-28,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-321676-index.html,False
0001193125-26-321674,1652044,4,2026-07-28,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-321674-index.html,False
0001193125-26-321672,1652044,4,2026-07-28,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-321672-index.html,False
0001168404-26-000039,1652044,4,2026-07-27,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001168404-26-000039-index.html,False
0001652044-26-000071,1652044,10-Q,2026-07-23,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000071-index.html,True
0001168404-26-000036,1652044,4,2026-07-23,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001168404-26-000036-index.html,False
0001652044-26-000066,1652044,8-K,2026-07-22,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000066-index.html,False
0001168404-26-000031,1652044,4,2026-07-21,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001168404-26-000031-index.html,False
0001168404-26-000029,1652044,4,2026-07-17,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001168404-26-000029-index.html,False
0001193125-26-296465,1652044,4,2026-07-06,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-296465-index.html,False
0001193125-26-296453,1652044,4,2026-07-06,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-296453-index.html,False
0001193125-26-296382,1652044,4,2026-07-06,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-296382-index.html,False
0001193125-26-296351,1652044,4,2026-07-06,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-296351-index.html,False
0001193125-26-296327,1652044,4,2026-07-06,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-296327-index.html,False
0001193125-26-296243,1652044,4,2026-07-06,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-296243-index.html,False
0001193125-26-292904,1652044,4,2026-07-01,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-292904-index.html,False
0001193125-26-289028,1652044,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-289028-index.html,False
0001193125-26-289019,1652044,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-289019-index.html,False
0001193125-26-289015,1652044,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-289015-index.html,False
0001193125-26-289012,1652044,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-289012-index.html,False
0001193125-26-289009,1652044,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-289009-index.html,False
0001193125-26-289007,1652044,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-289007-index.html,False
0001193125-26-276126,1652044,4,2026-06-18,2026,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-26-276126-index.html,False
