concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479117,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,84859000000.0,84859000000,USD,2026-06-30,Q2,2026,2026-01-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479116,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,45790000000.0,45790000000,USD,2026-03-31,Q1,2026,2026-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-26-000048,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000048-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479115,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,164713000000.0,164713000000,USD,2025-12-31,FY,2025,2025-01-01,duration,CashFlowStatement,true,high,0.9,0001652044-26-000018,10-K,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000018-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479114,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,112311000000.0,112311000000,USD,2025-09-30,Q3,2025,2025-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-25-000091,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479112,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,63897000000.0,63897000000,USD,2025-06-30,Q2,2025,2025-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-25-000062,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000062-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479113,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,63897000000.0,63897000000,USD,2025-06-30,Q2,2026,2025-01-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479110,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,36150000000.0,36150000000,USD,2025-03-31,Q1,2025,2025-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-25-000043,10-Q,2025-04-25,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000043-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479111,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,36150000000.0,36150000000,USD,2025-03-31,Q1,2026,2025-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-26-000048,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000048-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479108,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,125299000000.0,125299000000,USD,2024-12-31,FY,2024,2024-01-01,duration,CashFlowStatement,true,high,0.9,0001652044-25-000014,10-K,2025-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000014-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479109,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,125299000000.0,125299000000,USD,2024-12-31,FY,2025,2024-01-01,duration,CashFlowStatement,true,high,0.9,0001652044-26-000018,10-K,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000018-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479106,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,86186000000.0,86186000000,USD,2024-09-30,Q3,2024,2024-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-24-000118,10-Q,2024-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000118-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479107,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,86186000000.0,86186000000,USD,2024-09-30,Q3,2025,2024-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-25-000091,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479104,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,55488000000.0,55488000000,USD,2024-06-30,Q2,2024,2024-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-24-000079,10-Q,2024-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000079-index.html
