concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetIncomeLoss,57478600,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,174771000000.0,174771000000,USD,2026-06-30,Q2,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,57478601,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,112193000000.0,112193000000,USD,2026-06-30,Q2,2026,2026-04-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,57478599,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,62578000000.0,62578000000,USD,2026-03-31,Q1,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,0001652044-26-000048,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000048-index.html
us-gaap:NetIncomeLoss,57478598,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,132170000000.0,132170000000,USD,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9,0001652044-26-000018,10-K,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000018-index.html
us-gaap:NetIncomeLoss,57478596,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,97715000000.0,97715000000,USD,2025-09-30,Q3,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001652044-25-000091,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html
us-gaap:NetIncomeLoss,57478597,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,34979000000.0,34979000000,USD,2025-09-30,Q3,2025,2025-07-01,duration,IncomeStatement,false,high,0.9,0001652044-25-000091,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html
us-gaap:NetIncomeLoss,57478592,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,62736000000.0,62736000000,USD,2025-06-30,Q2,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001652044-25-000062,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000062-index.html
us-gaap:NetIncomeLoss,57478593,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,62736000000.0,62736000000,USD,2025-06-30,Q2,2026,2025-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,57478594,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,28196000000.0,28196000000,USD,2025-06-30,Q2,2025,2025-04-01,duration,IncomeStatement,false,high,0.9,0001652044-25-000062,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000062-index.html
us-gaap:NetIncomeLoss,57478595,1652044,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,28196000000.0,28196000000,USD,2025-06-30,Q2,2026,2025-04-01,duration,IncomeStatement,false,high,0.9,,,,
