concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:Revenues,57478456,1652044,us-gaap:Revenues,Revenues,229692000000.0,229692000000,USD,2026-06-30,Q2,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:Revenues,57478457,1652044,us-gaap:Revenues,Revenues,119796000000.0,119796000000,USD,2026-06-30,Q2,2026,2026-04-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:Revenues,57478455,1652044,us-gaap:Revenues,Revenues,109896000000.0,109896000000,USD,2026-03-31,Q1,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,0001652044-26-000048,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000048-index.html
us-gaap:Revenues,57478454,1652044,us-gaap:Revenues,Revenues,402836000000.0,402836000000,USD,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9,0001652044-26-000018,10-K,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000018-index.html
us-gaap:Revenues,57478452,1652044,us-gaap:Revenues,Revenues,289007000000.0,289007000000,USD,2025-09-30,Q3,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001652044-25-000091,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html
us-gaap:Revenues,57478453,1652044,us-gaap:Revenues,Revenues,102346000000.0,102346000000,USD,2025-09-30,Q3,2025,2025-07-01,duration,IncomeStatement,false,high,0.9,0001652044-25-000091,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html
us-gaap:Revenues,57478448,1652044,us-gaap:Revenues,Revenues,186662000000.0,186662000000,USD,2025-06-30,Q2,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001652044-25-000062,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000062-index.html
us-gaap:Revenues,57478449,1652044,us-gaap:Revenues,Revenues,186662000000.0,186662000000,USD,2025-06-30,Q2,2026,2025-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:Revenues,57478450,1652044,us-gaap:Revenues,Revenues,96428000000.0,96428000000,USD,2025-06-30,Q2,2025,2025-04-01,duration,IncomeStatement,false,high,0.9,0001652044-25-000062,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000062-index.html
us-gaap:Revenues,57478451,1652044,us-gaap:Revenues,Revenues,96428000000.0,96428000000,USD,2025-06-30,Q2,2026,2025-04-01,duration,IncomeStatement,false,high,0.9,,,,
