concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:Assets,57478689,1652044,us-gaap:Assets,Assets,921983000000.0,921983000000,USD,2026-06-30,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,57478688,1652044,us-gaap:Assets,Assets,703919000000.0,703919000000,USD,2026-03-31,Q1,2026,instant,BalanceSheet,false,high,0.9,0001652044-26-000048,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000048-index.html
us-gaap:Assets,57478685,1652044,us-gaap:Assets,Assets,595281000000.0,595281000000,USD,2025-12-31,FY,2025,instant,BalanceSheet,true,high,0.9,0001652044-26-000018,10-K,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000018-index.html
us-gaap:Assets,57478686,1652044,us-gaap:Assets,Assets,595281000000.0,595281000000,USD,2025-12-31,Q1,2026,instant,BalanceSheet,false,high,0.9,0001652044-26-000048,10-Q,2026-04-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000048-index.html
us-gaap:Assets,57478687,1652044,us-gaap:Assets,Assets,595281000000.0,595281000000,USD,2025-12-31,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,57478684,1652044,us-gaap:Assets,Assets,536469000000.0,536469000000,USD,2025-09-30,Q3,2025,instant,BalanceSheet,false,high,0.9,0001652044-25-000091,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html
us-gaap:Assets,57478683,1652044,us-gaap:Assets,Assets,502053000000.0,502053000000,USD,2025-06-30,Q2,2025,instant,BalanceSheet,false,high,0.9,0001652044-25-000062,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000062-index.html
us-gaap:Assets,57478682,1652044,us-gaap:Assets,Assets,475374000000.0,475374000000,USD,2025-03-31,Q1,2025,instant,BalanceSheet,false,high,0.9,0001652044-25-000043,10-Q,2025-04-25,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000043-index.html
us-gaap:Assets,57478677,1652044,us-gaap:Assets,Assets,450256000000.0,450256000000,USD,2024-12-31,FY,2024,instant,BalanceSheet,true,high,0.9,0001652044-25-000014,10-K,2025-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000014-index.html
us-gaap:Assets,57478678,1652044,us-gaap:Assets,Assets,450256000000.0,450256000000,USD,2024-12-31,Q1,2025,instant,BalanceSheet,false,high,0.9,0001652044-25-000043,10-Q,2025-04-25,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000043-index.html
us-gaap:Assets,57478679,1652044,us-gaap:Assets,Assets,450256000000.0,450256000000,USD,2024-12-31,Q2,2025,instant,BalanceSheet,false,high,0.9,0001652044-25-000062,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000062-index.html
us-gaap:Assets,57478680,1652044,us-gaap:Assets,Assets,450256000000.0,450256000000,USD,2024-12-31,Q3,2025,instant,BalanceSheet,false,high,0.9,0001652044-25-000091,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html
us-gaap:Assets,57478681,1652044,us-gaap:Assets,Assets,450256000000.0,450256000000,USD,2024-12-31,FY,2025,instant,BalanceSheet,true,high,0.9,0001652044-26-000018,10-K,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000018-index.html
us-gaap:Assets,57478676,1652044,us-gaap:Assets,Assets,430266000000.0,430266000000,USD,2024-09-30,Q3,2024,instant,BalanceSheet,false,high,0.9,0001652044-24-000118,10-Q,2024-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000118-index.html
us-gaap:Assets,57478675,1652044,us-gaap:Assets,Assets,414770000000.0,414770000000,USD,2024-06-30,Q2,2024,instant,BalanceSheet,false,high,0.9,0001652044-24-000079,10-Q,2024-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000079-index.html
us-gaap:Assets,57478674,1652044,us-gaap:Assets,Assets,407350000000.0,407350000000,USD,2024-03-31,Q1,2024,instant,BalanceSheet,false,high,0.9,0001652044-24-000053,10-Q,2024-04-26,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000053-index.html
us-gaap:Assets,57478669,1652044,us-gaap:Assets,Assets,402392000000.0,402392000000,USD,2023-12-31,FY,2023,instant,BalanceSheet,true,high,0.9,0001652044-24-000022,10-K,2024-01-31,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000022-index.html
us-gaap:Assets,57478670,1652044,us-gaap:Assets,Assets,402392000000.0,402392000000,USD,2023-12-31,Q1,2024,instant,BalanceSheet,false,high,0.9,0001652044-24-000053,10-Q,2024-04-26,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000053-index.html
us-gaap:Assets,57478671,1652044,us-gaap:Assets,Assets,402392000000.0,402392000000,USD,2023-12-31,Q2,2024,instant,BalanceSheet,false,high,0.9,0001652044-24-000079,10-Q,2024-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000079-index.html
us-gaap:Assets,57478672,1652044,us-gaap:Assets,Assets,402392000000.0,402392000000,USD,2023-12-31,Q3,2024,instant,BalanceSheet,false,high,0.9,0001652044-24-000118,10-Q,2024-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000118-index.html
us-gaap:Assets,57478673,1652044,us-gaap:Assets,Assets,402392000000.0,402392000000,USD,2023-12-31,FY,2024,instant,BalanceSheet,true,high,0.9,0001652044-25-000014,10-K,2025-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000014-index.html
us-gaap:Assets,57478668,1652044,us-gaap:Assets,Assets,396711000000.0,396711000000,USD,2023-09-30,Q3,2023,instant,BalanceSheet,false,high,0.9,0001652044-23-000094,10-Q,2023-10-25,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-23-000094-index.html
us-gaap:Assets,57478667,1652044,us-gaap:Assets,Assets,383044000000.0,383044000000,USD,2023-06-30,Q2,2023,instant,BalanceSheet,false,high,0.9,0001652044-23-000070,10-Q,2023-07-26,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-23-000070-index.html
us-gaap:Assets,57478666,1652044,us-gaap:Assets,Assets,369491000000.0,369491000000,USD,2023-03-31,Q1,2023,instant,BalanceSheet,false,high,0.9,0001652044-23-000045,10-Q,2023-04-26,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-23-000045-index.html
