accession,cik,form_type,filing_date,fiscal_year,sec_url,xbrl_available,fiscal_period,report_date,primary_document
0000789019-26-000141,789019,4,2026-08-05,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000141-index.html,False,,,
0001193125-26-323660,789019,10-K,2026-07-29,2026,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-323660-index.html,True,FY,,
0001193125-26-323632,789019,8-K,2026-07-29,2026,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-323632-index.html,False,,,
0000789019-26-000131,789019,4,2026-06-12,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000131-index.html,False,,,
0000789019-26-000130,789019,4,2026-06-12,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000130-index.html,False,,,
0000789019-26-000129,789019,4,2026-06-12,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000129-index.html,False,,,
0000789019-26-000128,789019,4,2026-06-12,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000128-index.html,False,,,
0000789019-26-000127,789019,4,2026-06-12,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000127-index.html,False,,,
0000789019-26-000126,789019,4,2026-06-12,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000126-index.html,False,,,
0000789019-26-000121,789019,4,2026-06-12,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000121-index.html,False,,,
0001193125-26-258667,789019,8-K,2026-06-05,2026,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-258667-index.html,False,,2026-06-02,d26760d8k.htm
0000789019-26-000083,789019,4,2026-06-02,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000083-index.html,False,,2026-06-01,xslF345X06/form4.xml
0000789019-26-000081,789019,4,2026-06-01,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000081-index.html,False,,2026-06-01,xslF345X06/form4.xml
0000789019-26-000080,789019,4,2026-06-01,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000080-index.html,False,,2026-06-01,xslF345X06/form4.xml
0000789019-26-000075,789019,4,2026-05-18,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000075-index.html,False,,2026-05-14,xslF345X06/form4.xml
0001193125-26-224155,789019,8-K,2026-05-14,2026,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-224155-index.html,False,,2026-05-13,d125909d8k.htm
0001193125-26-191507,789019,10-Q,2026-04-29,2026,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-191507-index.html,True,Q1,2026-03-31,msft-20260331.htm
0001193125-26-191457,789019,8-K,2026-04-29,2026,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-191457-index.html,False,,2026-04-29,msft-20260429.htm
0000789019-26-000070,789019,4,2026-04-15,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000070-index.html,False,,2026-04-15,xslF345X06/form4.xml
0000789019-26-000066,789019,4,2026-03-16,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000066-index.html,False,,2026-03-16,xslF345X05/form4.xml
0000789019-26-000064,789019,4,2026-03-13,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000064-index.html,False,,2026-03-12,xslF345X05/form4.xml
0000789019-26-000063,789019,4,2026-03-13,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000063-index.html,False,,2026-03-12,xslF345X05/form4.xml
0000789019-26-000062,789019,4,2026-03-13,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000062-index.html,False,,2026-03-12,xslF345X05/form4.xml
0000789019-26-000061,789019,4,2026-03-13,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000061-index.html,False,,2026-03-12,xslF345X05/form4.xml
0000789019-26-000060,789019,4,2026-03-13,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000060-index.html,False,,2026-03-12,xslF345X05/form4.xml
0000789019-26-000059,789019,4,2026-03-13,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000059-index.html,False,,2026-03-12,xslF345X05/form4.xml
0000789019-26-000058,789019,4,2026-03-13,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000058-index.html,False,,2026-03-12,xslF345X05/form4.xml
0000789019-26-000057,789019,4,2026-03-13,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000057-index.html,False,,2026-03-12,xslF345X05/form4.xml
0000789019-26-000048,789019,4,2026-03-09,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000048-index.html,False,,2026-03-06,xslF345X05/form4.xml
0000789019-26-000046,789019,4,2026-03-03,2026,https://www.sec.gov/Archives/edgar/data/789019/0000789019-26-000046-index.html,False,,2026-03-02,xslF345X05/form4.xml
