concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499751,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,182935000000.0,182935000000,USD,2026-06-30,FY,2026,2025-07-01,duration,CashFlowStatement,true,high,0.9,0001193125-26-323660,10-K,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-323660-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499749,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,127494000000.0,127494000000,USD,2026-03-31,Q3,2026,2025-07-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499750,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,46679000000.0,46679000000,USD,2026-03-31,Q3,2026,2026-01-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499747,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,80815000000.0,80815000000,USD,2025-12-31,Q2,2026,2025-07-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499748,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,35758000000.0,35758000000,USD,2025-12-31,Q2,2026,2025-10-01,duration,CashFlowStatement,false,high,0.9,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499746,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,45057000000.0,45057000000,USD,2025-09-30,Q1,2026,2025-07-01,duration,CashFlowStatement,false,high,0.9,0001193125-26-191507,10-Q,2026-04-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-191507-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499744,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,136162000000.0,136162000000,USD,2025-06-30,FY,2025,2024-07-01,duration,CashFlowStatement,true,high,0.9,0000950170-25-100235,10-K,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100235-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499745,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,136162000000.0,136162000000,USD,2025-06-30,FY,2026,2024-07-01,duration,CashFlowStatement,true,high,0.9,0001193125-26-323660,10-K,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-323660-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499740,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,93515000000.0,93515000000,USD,2025-03-31,Q3,2025,2024-07-01,duration,CashFlowStatement,false,high,0.9,0001193125-25-256321,10-Q,2025-10-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-256321-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,58499741,789019,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,93515000000.0,93515000000,USD,2025-03-31,Q3,2026,2024-07-01,duration,CashFlowStatement,false,high,0.9,,,,
