concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:Assets,58499130,789019,us-gaap:Assets,Assets,758376000000.0,758376000000,USD,2026-06-30,FY,2026,instant,BalanceSheet,true,high,0.9,0001193125-26-323660,10-K,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-323660-index.html
us-gaap:Assets,58499129,789019,us-gaap:Assets,Assets,694228000000.0,694228000000,USD,2026-03-31,Q3,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,58499128,789019,us-gaap:Assets,Assets,665302000000.0,665302000000,USD,2025-12-31,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,58499127,789019,us-gaap:Assets,Assets,636351000000.0,636351000000,USD,2025-09-30,Q1,2026,instant,BalanceSheet,false,high,0.9,0001193125-26-191507,10-Q,2026-04-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-191507-index.html
us-gaap:Assets,58499122,789019,us-gaap:Assets,Assets,619003000000.0,619003000000,USD,2025-06-30,FY,2025,instant,BalanceSheet,true,high,0.9,0000950170-25-100235,10-K,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100235-index.html
us-gaap:Assets,58499123,789019,us-gaap:Assets,Assets,619003000000.0,619003000000,USD,2025-06-30,Q1,2026,instant,BalanceSheet,false,high,0.9,0001193125-26-191507,10-Q,2026-04-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-191507-index.html
us-gaap:Assets,58499124,789019,us-gaap:Assets,Assets,619003000000.0,619003000000,USD,2025-06-30,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,58499125,789019,us-gaap:Assets,Assets,619003000000.0,619003000000,USD,2025-06-30,Q3,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,58499126,789019,us-gaap:Assets,Assets,619003000000.0,619003000000,USD,2025-06-30,FY,2026,instant,BalanceSheet,true,high,0.9,0001193125-26-323660,10-K,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-26-323660-index.html
us-gaap:Assets,58499121,789019,us-gaap:Assets,Assets,562624000000.0,562624000000,USD,2025-03-31,Q3,2025,instant,BalanceSheet,false,high,0.9,0001193125-25-256321,10-Q,2025-10-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-256321-index.html
us-gaap:Assets,58499120,789019,us-gaap:Assets,Assets,533898000000.0,533898000000,USD,2024-12-31,Q2,2025,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,58499119,789019,us-gaap:Assets,Assets,523013000000.0,523013000000,USD,2024-09-30,Q1,2025,instant,BalanceSheet,false,high,0.9,0000950170-25-061046,10-Q,2025-04-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-061046-index.html
us-gaap:Assets,58499114,789019,us-gaap:Assets,Assets,512163000000.0,512163000000,USD,2024-06-30,FY,2024,instant,BalanceSheet,true,high,0.9,0000950170-24-087843,10-K,2024-07-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-087843-index.html
us-gaap:Assets,58499115,789019,us-gaap:Assets,Assets,512163000000.0,512163000000,USD,2024-06-30,Q1,2025,instant,BalanceSheet,false,high,0.9,0000950170-25-061046,10-Q,2025-04-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-061046-index.html
us-gaap:Assets,58499116,789019,us-gaap:Assets,Assets,512163000000.0,512163000000,USD,2024-06-30,Q2,2025,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,58499117,789019,us-gaap:Assets,Assets,512163000000.0,512163000000,USD,2024-06-30,Q3,2025,instant,BalanceSheet,false,high,0.9,0001193125-25-256321,10-Q,2025-10-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-256321-index.html
us-gaap:Assets,58499118,789019,us-gaap:Assets,Assets,512163000000.0,512163000000,USD,2024-06-30,FY,2025,instant,BalanceSheet,true,high,0.9,0000950170-25-100235,10-K,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100235-index.html
us-gaap:Assets,58499113,789019,us-gaap:Assets,Assets,484275000000.0,484275000000,USD,2024-03-31,Q3,2024,instant,BalanceSheet,false,high,0.9,0000950170-24-118967,10-Q,2024-10-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-118967-index.html
us-gaap:Assets,58499112,789019,us-gaap:Assets,Assets,470558000000.0,470558000000,USD,2023-12-31,Q2,2024,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,58499111,789019,us-gaap:Assets,Assets,445785000000.0,445785000000,USD,2023-09-30,Q1,2024,instant,BalanceSheet,false,high,0.9,0000950170-24-048288,10-Q,2024-04-25,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-048288-index.html
us-gaap:Assets,58499106,789019,us-gaap:Assets,Assets,411976000000.0,411976000000,USD,2023-06-30,FY,2023,instant,BalanceSheet,true,high,0.9,0000950170-23-035122,10-K,2023-07-27,https://www.sec.gov/Archives/edgar/data/789019/0000950170-23-035122-index.html
us-gaap:Assets,58499107,789019,us-gaap:Assets,Assets,411976000000.0,411976000000,USD,2023-06-30,Q1,2024,instant,BalanceSheet,false,high,0.9,0000950170-24-048288,10-Q,2024-04-25,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-048288-index.html
us-gaap:Assets,58499108,789019,us-gaap:Assets,Assets,411976000000.0,411976000000,USD,2023-06-30,Q2,2024,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,58499109,789019,us-gaap:Assets,Assets,411976000000.0,411976000000,USD,2023-06-30,Q3,2024,instant,BalanceSheet,false,high,0.9,0000950170-24-118967,10-Q,2024-10-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-118967-index.html
us-gaap:Assets,58499110,789019,us-gaap:Assets,Assets,411976000000.0,411976000000,USD,2023-06-30,FY,2024,instant,BalanceSheet,true,high,0.9,0000950170-24-087843,10-K,2024-07-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-087843-index.html
us-gaap:Assets,58499105,789019,us-gaap:Assets,Assets,380088000000.0,380088000000,USD,2023-03-31,Q3,2023,instant,BalanceSheet,false,high,0.9,0000950170-23-054855,10-Q,2023-10-24,https://www.sec.gov/Archives/edgar/data/789019/0000950170-23-054855-index.html
