accession,cik,form_type,filing_date,fiscal_year,sec_url,xbrl_available,report_date,primary_document
0001045810-26-000060,1045810,8-K,2026-07-02,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000060-index.html,False,,
0001045810-26-000056,1045810,8-K,2026-06-30,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000056-index.html,False,,
0001768670-26-000004,1045810,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001768670-26-000004-index.html,False,,
0001725292-26-000004,1045810,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001725292-26-000004-index.html,False,,
0001199039-26-000009,1045810,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001199039-26-000009-index.html,False,,
0001197652-26-000007,1045810,4,2026-06-29,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001197652-26-000007-index.html,False,,
0001696841-26-000008,1045810,4,2026-06-23,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001696841-26-000008-index.html,False,,
0001347842-26-000013,1045810,4,2026-06-23,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001347842-26-000013-index.html,False,,
0001283854-26-000008,1045810,4,2026-06-23,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001283854-26-000008-index.html,False,,
0001199039-26-000007,1045810,4,2026-06-23,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001199039-26-000007-index.html,False,,
0001193125-26-275783,1045810,8-K,2026-06-18,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001193125-26-275783-index.html,False,,
0001818224-26-000004,1045810,4,2026-05-29,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001818224-26-000004-index.html,False,2026-05-27,xslF345X06/wk-form4_1780087807.xml
0001045810-26-000051,1045810,8-K,2026-05-20,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000051-index.html,False,2026-05-20,nvda-20260520.htm
0001045810-26-000042,1045810,13F-HR,2026-05-15,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000042-index.html,False,2026-03-31,xslForm13F_X02/primary_doc.xml
0001045810-26-000028,1045810,8-K,2026-05-08,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000028-index.html,False,2026-05-07,nvda-20260507.htm
0001045810-26-000026,1045810,8-K,2026-04-27,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000026-index.html,False,2026-04-24,nvda-20260424.htm
0001199039-26-000003,1045810,4,2026-03-24,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001199039-26-000003-index.html,False,2026-03-20,xslF345X06/wk-form4_1774386816.xml
0001725292-26-000002,1045810,4,2026-03-20,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001725292-26-000002-index.html,False,2026-03-19,xslF345X06/wk-form4_1774052040.xml
0001696841-26-000006,1045810,4,2026-03-20,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001696841-26-000006-index.html,False,2026-03-18,xslF345X06/wk-form4_1774051862.xml
0001588670-26-000010,1045810,4,2026-03-20,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001588670-26-000010-index.html,False,2026-03-18,xslF345X06/wk-form4_1774051632.xml
0001526111-26-000005,1045810,4,2026-03-20,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001526111-26-000005-index.html,False,2026-03-18,xslF345X06/wk-form4_1774051982.xml
0001347842-26-000011,1045810,4,2026-03-20,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001347842-26-000011-index.html,False,2026-03-18,xslF345X06/wk-form4_1774051696.xml
0001283854-26-000006,1045810,4,2026-03-20,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001283854-26-000006-index.html,False,2026-03-18,xslF345X06/wk-form4_1774051812.xml
0001197649-26-000005,1045810,4,2026-03-20,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001197649-26-000005-index.html,False,2026-03-18,xslF345X06/wk-form4_1774051558.xml
0001197652-26-000003,1045810,4,2026-03-19,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001197652-26-000003-index.html,False,2026-03-17,xslF345X06/wk-form4_1773955615.xml
0001818224-26-000002,1045810,4,2026-03-17,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001818224-26-000002-index.html,False,2026-03-13,xslF345X05/wk-form4_1773781935.xml
0001696841-26-000004,1045810,4,2026-03-11,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001696841-26-000004-index.html,False,2026-03-09,xslF345X05/wk-form4_1773267350.xml
0001588670-26-000008,1045810,4,2026-03-11,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001588670-26-000008-index.html,False,2026-03-09,xslF345X05/wk-form4_1773267159.xml
0001347842-26-000009,1045810,4,2026-03-11,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001347842-26-000009-index.html,False,2026-03-09,xslF345X05/wk-form4_1773267054.xml
0001283854-26-000004,1045810,4,2026-03-11,2026,https://www.sec.gov/Archives/edgar/data/1045810/0001283854-26-000004-index.html,False,2026-03-09,xslF345X05/wk-form4_1773267265.xml
