concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,accession,form_type,filing_date,sec_url
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607462,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,102718000000.0,102718000000,USD,2026-01-25,FY,2026,2025-01-27,duration,0001045810-26-000021,10-K,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000021-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607461,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,66530000000.0,66530000000,USD,2025-10-26,Q3,2026,2025-01-27,duration,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607460,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,42779000000.0,42779000000,USD,2025-07-27,Q2,2026,2025-01-27,duration,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607459,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,27414000000.0,27414000000,USD,2025-04-27,Q1,2026,2025-01-27,duration,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607458,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,64089000000.0,64089000000,USD,2025-01-26,FY,2025,2024-01-29,duration,0001045810-25-000023,10-K,2025-02-26,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000023-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607457,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,47460000000.0,47460000000,USD,2024-10-27,Q3,2025,2024-01-29,duration,0001045810-25-000209,10-Q,2025-08-27,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000209-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607456,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,29833000000.0,29833000000,USD,2024-07-28,Q2,2025,2024-01-29,duration,0001045810-25-000116,10-Q,2025-05-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607455,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,15345000000.0,15345000000,USD,2024-04-28,Q1,2025,2024-01-29,duration,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607454,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,28090000000.0,28090000000,USD,2024-01-28,FY,2024,2023-01-30,duration,0001045810-24-000029,10-K,2024-02-21,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000029-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607453,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,16591000000.0,16591000000,USD,2023-10-29,Q3,2024,2023-01-30,duration,0001045810-24-000264,10-Q,2024-08-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000264-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607452,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,9259000000.0,9259000000,USD,2023-07-30,Q2,2024,2023-01-30,duration,0001045810-24-000124,10-Q,2024-05-29,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000124-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607451,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,2911000000.0,2911000000,USD,2023-04-30,Q1,2024,2023-01-30,duration,,,,
us-gaap:NetCashProvidedByUsedInOperatingActivities,30607450,1045810,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,5641000000.0,5641000000,USD,2023-01-29,FY,2023,2022-01-31,duration,0001045810-23-000017,10-K,2023-02-24,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-23-000017-index.html
