concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,accession,form_type,filing_date,sec_url
us-gaap:NetIncomeLoss,30607596,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,120067000000.0,120067000000,USD,2026-01-25,FY,2026,2025-01-27,duration,0001045810-26-000021,10-K,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000021-index.html
us-gaap:NetIncomeLoss,30607594,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,77107000000.0,77107000000,USD,2025-10-26,Q3,2026,2025-01-27,duration,,,,
us-gaap:NetIncomeLoss,30607595,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,31910000000.0,31910000000,USD,2025-10-26,Q3,2026,2025-07-28,duration,,,,
us-gaap:NetIncomeLoss,30607592,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,45197000000.0,45197000000,USD,2025-07-27,Q2,2026,2025-01-27,duration,,,,
us-gaap:NetIncomeLoss,30607593,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,26422000000.0,26422000000,USD,2025-07-27,Q2,2026,2025-04-28,duration,,,,
us-gaap:NetIncomeLoss,30607591,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,18775000000.0,18775000000,USD,2025-04-27,Q1,2026,2025-01-27,duration,,,,
us-gaap:NetIncomeLoss,30607590,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,72880000000.0,72880000000,USD,2025-01-26,FY,2025,2024-01-29,duration,0001045810-25-000023,10-K,2025-02-26,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000023-index.html
us-gaap:NetIncomeLoss,30607588,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,50789000000.0,50789000000,USD,2024-10-27,Q3,2025,2024-01-29,duration,0001045810-25-000209,10-Q,2025-08-27,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000209-index.html
us-gaap:NetIncomeLoss,30607589,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,19309000000.0,19309000000,USD,2024-10-27,Q3,2025,2024-07-29,duration,0001045810-25-000209,10-Q,2025-08-27,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000209-index.html
us-gaap:NetIncomeLoss,30607586,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,31480000000.0,31480000000,USD,2024-07-28,Q2,2025,2024-01-29,duration,0001045810-25-000116,10-Q,2025-05-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116-index.html
us-gaap:NetIncomeLoss,30607587,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,16599000000.0,16599000000,USD,2024-07-28,Q2,2025,2024-04-29,duration,0001045810-25-000116,10-Q,2025-05-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116-index.html
us-gaap:NetIncomeLoss,30607585,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,14881000000.0,14881000000,USD,2024-04-28,Q1,2025,2024-01-29,duration,,,,
us-gaap:NetIncomeLoss,30607584,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,29760000000.0,29760000000,USD,2024-01-28,FY,2024,2023-01-30,duration,0001045810-24-000029,10-K,2024-02-21,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000029-index.html
us-gaap:NetIncomeLoss,30607582,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,17475000000.0,17475000000,USD,2023-10-29,Q3,2024,2023-01-30,duration,0001045810-24-000264,10-Q,2024-08-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000264-index.html
us-gaap:NetIncomeLoss,30607583,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,9243000000.0,9243000000,USD,2023-10-29,Q3,2024,2023-07-31,duration,0001045810-24-000264,10-Q,2024-08-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000264-index.html
us-gaap:NetIncomeLoss,30607580,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,8232000000.0,8232000000,USD,2023-07-30,Q2,2024,2023-01-30,duration,0001045810-24-000124,10-Q,2024-05-29,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000124-index.html
us-gaap:NetIncomeLoss,30607581,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,6188000000.0,6188000000,USD,2023-07-30,Q2,2024,2023-05-01,duration,0001045810-24-000124,10-Q,2024-05-29,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000124-index.html
us-gaap:NetIncomeLoss,30607579,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,2043000000.0,2043000000,USD,2023-04-30,Q1,2024,2023-01-30,duration,,,,
us-gaap:NetIncomeLoss,30607578,1045810,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,4368000000.0,4368000000,USD,2023-01-29,FY,2023,2022-01-31,duration,0001045810-23-000017,10-K,2023-02-24,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-23-000017-index.html
