concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,accession,form_type,filing_date,sec_url
us-gaap:OperatingIncomeLoss,30607945,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),130387000000.0,130387000000,USD,2026-01-25,FY,2026,2025-01-27,duration,0001045810-26-000021,10-K,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000021-index.html
us-gaap:OperatingIncomeLoss,30607943,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),86088000000.0,86088000000,USD,2025-10-26,Q3,2026,2025-01-27,duration,,,,
us-gaap:OperatingIncomeLoss,30607944,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),36010000000.0,36010000000,USD,2025-10-26,Q3,2026,2025-07-28,duration,,,,
us-gaap:OperatingIncomeLoss,30607941,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),50078000000.0,50078000000,USD,2025-07-27,Q2,2026,2025-01-27,duration,,,,
us-gaap:OperatingIncomeLoss,30607942,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),28440000000.0,28440000000,USD,2025-07-27,Q2,2026,2025-04-28,duration,,,,
us-gaap:OperatingIncomeLoss,30607940,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),21638000000.0,21638000000,USD,2025-04-27,Q1,2026,2025-01-27,duration,,,,
us-gaap:OperatingIncomeLoss,30607939,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),81453000000.0,81453000000,USD,2025-01-26,FY,2025,2024-01-29,duration,0001045810-25-000023,10-K,2025-02-26,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000023-index.html
us-gaap:OperatingIncomeLoss,30607937,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),57419000000.0,57419000000,USD,2024-10-27,Q3,2025,2024-01-29,duration,0001045810-25-000209,10-Q,2025-08-27,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000209-index.html
us-gaap:OperatingIncomeLoss,30607938,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),21869000000.0,21869000000,USD,2024-10-27,Q3,2025,2024-07-29,duration,0001045810-25-000209,10-Q,2025-08-27,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000209-index.html
us-gaap:OperatingIncomeLoss,30607935,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),35551000000.0,35551000000,USD,2024-07-28,Q2,2025,2024-01-29,duration,0001045810-25-000116,10-Q,2025-05-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116-index.html
us-gaap:OperatingIncomeLoss,30607936,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),18642000000.0,18642000000,USD,2024-07-28,Q2,2025,2024-04-29,duration,0001045810-25-000116,10-Q,2025-05-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116-index.html
us-gaap:OperatingIncomeLoss,30607934,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),16909000000.0,16909000000,USD,2024-04-28,Q1,2025,2024-01-29,duration,,,,
us-gaap:OperatingIncomeLoss,30607933,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),32972000000.0,32972000000,USD,2024-01-28,FY,2024,2023-01-30,duration,0001045810-24-000029,10-K,2024-02-21,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000029-index.html
us-gaap:OperatingIncomeLoss,30607931,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),19358000000.0,19358000000,USD,2023-10-29,Q3,2024,2023-01-30,duration,0001045810-24-000264,10-Q,2024-08-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000264-index.html
us-gaap:OperatingIncomeLoss,30607932,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),10417000000.0,10417000000,USD,2023-10-29,Q3,2024,2023-07-31,duration,0001045810-24-000264,10-Q,2024-08-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000264-index.html
us-gaap:OperatingIncomeLoss,30607929,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),8941000000.0,8941000000,USD,2023-07-30,Q2,2024,2023-01-30,duration,0001045810-24-000124,10-Q,2024-05-29,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000124-index.html
us-gaap:OperatingIncomeLoss,30607930,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),6800000000.0,6800000000,USD,2023-07-30,Q2,2024,2023-05-01,duration,0001045810-24-000124,10-Q,2024-05-29,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000124-index.html
us-gaap:OperatingIncomeLoss,30607928,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),2140000000.0,2140000000,USD,2023-04-30,Q1,2024,2023-01-30,duration,,,,
us-gaap:OperatingIncomeLoss,30607927,1045810,us-gaap:OperatingIncomeLoss,Operating Income (Loss),4224000000.0,4224000000,USD,2023-01-29,FY,2023,2022-01-31,duration,0001045810-23-000017,10-K,2023-02-24,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-23-000017-index.html
