concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,accession,form_type,filing_date,sec_url
us-gaap:Revenues,30623065,1045810,us-gaap:Revenues,Revenues,215938000000.0,215938000000,USD,2026-01-25,FY,2026,2025-01-27,duration,0001045810-26-000021,10-K,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-26-000021-index.html
us-gaap:Revenues,30623063,1045810,us-gaap:Revenues,Revenues,147811000000.0,147811000000,USD,2025-10-26,Q3,2026,2025-01-27,duration,,,,
us-gaap:Revenues,30623064,1045810,us-gaap:Revenues,Revenues,57006000000.0,57006000000,USD,2025-10-26,Q3,2026,2025-07-28,duration,,,,
us-gaap:Revenues,30623061,1045810,us-gaap:Revenues,Revenues,90805000000.0,90805000000,USD,2025-07-27,Q2,2026,2025-01-27,duration,,,,
us-gaap:Revenues,30623062,1045810,us-gaap:Revenues,Revenues,46743000000.0,46743000000,USD,2025-07-27,Q2,2026,2025-04-28,duration,,,,
us-gaap:Revenues,30623060,1045810,us-gaap:Revenues,Revenues,44062000000.0,44062000000,USD,2025-04-27,Q1,2026,2025-01-27,duration,,,,
us-gaap:Revenues,30623059,1045810,us-gaap:Revenues,Revenues,130497000000.0,130497000000,USD,2025-01-26,FY,2025,2024-01-29,duration,0001045810-25-000023,10-K,2025-02-26,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000023-index.html
us-gaap:Revenues,30623057,1045810,us-gaap:Revenues,Revenues,91166000000.0,91166000000,USD,2024-10-27,Q3,2025,2024-01-29,duration,0001045810-25-000209,10-Q,2025-08-27,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000209-index.html
us-gaap:Revenues,30623058,1045810,us-gaap:Revenues,Revenues,35082000000.0,35082000000,USD,2024-10-27,Q3,2025,2024-07-29,duration,0001045810-25-000209,10-Q,2025-08-27,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000209-index.html
us-gaap:Revenues,30623055,1045810,us-gaap:Revenues,Revenues,56084000000.0,56084000000,USD,2024-07-28,Q2,2025,2024-01-29,duration,0001045810-25-000116,10-Q,2025-05-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116-index.html
us-gaap:Revenues,30623056,1045810,us-gaap:Revenues,Revenues,30040000000.0,30040000000,USD,2024-07-28,Q2,2025,2024-04-29,duration,0001045810-25-000116,10-Q,2025-05-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116-index.html
us-gaap:Revenues,30623054,1045810,us-gaap:Revenues,Revenues,26044000000.0,26044000000,USD,2024-04-28,Q1,2025,2024-01-29,duration,,,,
us-gaap:Revenues,30623053,1045810,us-gaap:Revenues,Revenues,60922000000.0,60922000000,USD,2024-01-28,FY,2024,2023-01-30,duration,0001045810-24-000029,10-K,2024-02-21,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000029-index.html
us-gaap:Revenues,30623051,1045810,us-gaap:Revenues,Revenues,38819000000.0,38819000000,USD,2023-10-29,Q3,2024,2023-01-30,duration,0001045810-24-000264,10-Q,2024-08-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000264-index.html
us-gaap:Revenues,30623052,1045810,us-gaap:Revenues,Revenues,18120000000.0,18120000000,USD,2023-10-29,Q3,2024,2023-07-31,duration,0001045810-24-000264,10-Q,2024-08-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000264-index.html
us-gaap:Revenues,30623049,1045810,us-gaap:Revenues,Revenues,20699000000.0,20699000000,USD,2023-07-30,Q2,2024,2023-01-30,duration,0001045810-24-000124,10-Q,2024-05-29,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000124-index.html
us-gaap:Revenues,30623050,1045810,us-gaap:Revenues,Revenues,13507000000.0,13507000000,USD,2023-07-30,Q2,2024,2023-05-01,duration,0001045810-24-000124,10-Q,2024-05-29,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000124-index.html
us-gaap:Revenues,30623048,1045810,us-gaap:Revenues,Revenues,7192000000.0,7192000000,USD,2023-04-30,Q1,2024,2023-01-30,duration,,,,
us-gaap:Revenues,30623047,1045810,us-gaap:Revenues,Revenues,26974000000.0,26974000000,USD,2023-01-29,FY,2023,2022-01-31,duration,0001045810-23-000017,10-K,2023-02-24,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-23-000017-index.html
