accession,cik,form_type,filing_date,fiscal_year,sec_url,xbrl_available,report_date,primary_document,fiscal_period
0001628280-26-049270,1318605,10-Q,2026-07-23,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-049270-index.html,True,,,
0001628280-26-049213,1318605,8-K,2026-07-22,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-049213-index.html,False,,,
0001628280-26-046717,1318605,8-K,2026-07-02,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-046717-index.html,False,,,
0001104659-26-062860,1318605,4,2026-05-15,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-26-062860-index.html,False,2026-05-13,xslF345X06/tm2614845-1_4seq1.xml,
0001104659-26-055079,1318605,4,2026-05-04,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-26-055079-index.html,False,2026-04-30,xslF345X06/tm2613330-1_4seq1.xml,
0001628280-26-026673,1318605,10-Q,2026-04-23,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-026673-index.html,True,2026-03-31,tsla-20260331.htm,Q1
0001104659-26-047678,1318605,4,2026-04-23,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-26-047678-index.html,False,2026-04-21,xslF345X06/tm2612285-1_4seq1.xml,
0001628280-26-026551,1318605,8-K,2026-04-22,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-026551-index.html,False,2026-04-22,tsla-20260422.htm,
0001972928-26-000002,1318605,4,2026-04-02,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001972928-26-000002-index.html,False,2026-03-31,xslF345X06/edgardoc.xml,
0001628280-26-022956,1318605,8-K,2026-04-02,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-022956-index.html,False,2026-04-02,tsla-20260402.htm,
0001104659-26-038682,1318605,4,2026-04-01,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-26-038682-index.html,False,2026-03-30,xslF345X06/tm2610684-1_4seq1.xml,
0001104659-26-025379,1318605,4,2026-03-09,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-26-025379-index.html,False,2026-03-05,xslF345X05/tm268346-1_4seq1.xml,
0001104659-26-021746,1318605,4,2026-02-27,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-26-021746-index.html,False,2026-02-25,xslF345X05/tm267481-1_4seq1.xml,
0001628280-26-003952,1318605,10-K,2026-01-29,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-003952-index.html,True,2025-12-31,tsla-20251231.htm,FY
0001628280-26-003837,1318605,8-K,2026-01-28,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-003837-index.html,False,2026-01-28,tsla-20260128.htm,
0001972928-26-000001,1318605,4,2026-01-12,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001972928-26-000001-index.html,False,2026-01-08,xslF345X05/edgardoc.xml,
0001104659-26-001460,1318605,4,2026-01-06,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-26-001460-index.html,False,2026-01-02,xslF345X05/tm261890-1_4seq1.xml,
0001628280-26-000016,1318605,8-K,2026-01-02,2026,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-000016-index.html,False,2026-01-02,tsla-20260102.htm,
0001104659-25-125703,1318605,4,2025-12-31,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-125703-index.html,False,2025-12-30,xslF345X05/tm2534544-1_4seq1.xml,
0001104659-25-120387,1318605,4,2025-12-11,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-120387-index.html,False,2025-12-09,xslF345X05/tm2533052-2_4seq1.xml,
0001104659-25-119764,1318605,4,2025-12-09,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-119764-index.html,False,2025-12-05,xslF345X05/tm2533052-1_4seq1.xml,
0001104659-25-110597,1318605,4,2025-11-12,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-110597-index.html,False,2025-11-10,xslF345X05/tm2530937-1_4seq1.xml,
0001104659-25-109263,1318605,4,2025-11-10,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-109263-index.html,False,2025-11-06,xslF345X05/tm2530487-1_4seq1.xml,
0001104659-25-108507,1318605,8-K,2025-11-07,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-108507-index.html,False,2025-11-06,tm2530590d1_8k.htm,
0001628280-25-045968,1318605,10-Q,2025-10-23,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html,True,2025-09-30,tsla-20250930.htm,Q3
0001628280-25-045861,1318605,8-K,2025-10-22,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045861-index.html,False,2025-10-22,tsla-20251022.htm,
0001628280-25-043530,1318605,8-K,2025-10-02,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-043530-index.html,False,2025-10-02,tsla-20251002.htm,
0001104659-25-090923,1318605,4,2025-09-17,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-090923-index.html,False,2025-09-15,xslF345X05/tm2526179-1_4seq1.xml,
0001104659-25-089693,1318605,4,2025-09-15,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-089693-index.html,False,2025-09-12,xslF345X05/tm2526050-1_4seq1.xml,
0001972928-25-000004,1318605,4,2025-09-12,2025,https://www.sec.gov/Archives/edgar/data/1318605/0001972928-25-000004-index.html,False,2025-09-11,xslF345X05/edgardoc.xml,
