concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetIncomeLoss,57606887,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,1591000000.0,1591000000,USD,2026-06-30,Q2,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,57606888,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,1114000000.0,1114000000,USD,2026-06-30,Q2,2026,2026-04-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,57606886,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,477000000.0,477000000,USD,2026-03-31,Q1,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,0001628280-26-026673,10-Q,2026-04-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-026673-index.html
us-gaap:NetIncomeLoss,57606885,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,3794000000.0,3794000000,USD,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9,0001628280-26-003952,10-K,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-003952-index.html
us-gaap:NetIncomeLoss,57606883,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,2954000000.0,2954000000,USD,2025-09-30,Q3,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001628280-25-045968,10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html
us-gaap:NetIncomeLoss,57606884,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,1373000000.0,1373000000,USD,2025-09-30,Q3,2025,2025-07-01,duration,IncomeStatement,false,high,0.9,0001628280-25-045968,10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html
us-gaap:NetIncomeLoss,57606879,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,1581000000.0,1581000000,USD,2025-06-30,Q2,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001628280-25-035806,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-035806-index.html
us-gaap:NetIncomeLoss,57606880,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,1581000000.0,1581000000,USD,2025-06-30,Q2,2026,2025-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:NetIncomeLoss,57606881,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,1172000000.0,1172000000,USD,2025-06-30,Q2,2025,2025-04-01,duration,IncomeStatement,false,high,0.9,0001628280-25-035806,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-035806-index.html
us-gaap:NetIncomeLoss,57606882,1318605,us-gaap:NetIncomeLoss,Net Income (Loss) Attributable to Parent,1172000000.0,1172000000,USD,2025-06-30,Q2,2026,2025-04-01,duration,IncomeStatement,false,high,0.9,,,,
