concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606342,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",50623000000.0,50623000000,USD,2026-06-30,Q2,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606343,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",28236000000.0,28236000000,USD,2026-06-30,Q2,2026,2026-04-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:Revenues,57606613,1318605,us-gaap:Revenues,Revenues,50623000000.0,50623000000,USD,2026-06-30,Q2,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:Revenues,57606614,1318605,us-gaap:Revenues,Revenues,28236000000.0,28236000000,USD,2026-06-30,Q2,2026,2026-04-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606341,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",22387000000.0,22387000000,USD,2026-03-31,Q1,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,0001628280-26-026673,10-Q,2026-04-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-026673-index.html
us-gaap:Revenues,57606612,1318605,us-gaap:Revenues,Revenues,22387000000.0,22387000000,USD,2026-03-31,Q1,2026,2026-01-01,duration,IncomeStatement,false,high,0.9,0001628280-26-026673,10-Q,2026-04-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-026673-index.html
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606340,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",94827000000.0,94827000000,USD,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9,0001628280-26-003952,10-K,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-003952-index.html
us-gaap:Revenues,57606611,1318605,us-gaap:Revenues,Revenues,94827000000.0,94827000000,USD,2025-12-31,FY,2025,2025-01-01,duration,IncomeStatement,true,high,0.9,0001628280-26-003952,10-K,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-003952-index.html
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606338,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",69926000000.0,69926000000,USD,2025-09-30,Q3,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001628280-25-045968,10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606339,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",28095000000.0,28095000000,USD,2025-09-30,Q3,2025,2025-07-01,duration,IncomeStatement,false,high,0.9,0001628280-25-045968,10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html
us-gaap:Revenues,57606609,1318605,us-gaap:Revenues,Revenues,69926000000.0,69926000000,USD,2025-09-30,Q3,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001628280-25-045968,10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html
us-gaap:Revenues,57606610,1318605,us-gaap:Revenues,Revenues,28095000000.0,28095000000,USD,2025-09-30,Q3,2025,2025-07-01,duration,IncomeStatement,false,high,0.9,0001628280-25-045968,10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606334,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",41831000000.0,41831000000,USD,2025-06-30,Q2,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001628280-25-035806,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-035806-index.html
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606335,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",41831000000.0,41831000000,USD,2025-06-30,Q2,2026,2025-01-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606336,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",22496000000.0,22496000000,USD,2025-06-30,Q2,2025,2025-04-01,duration,IncomeStatement,false,high,0.9,0001628280-25-035806,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-035806-index.html
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,57606337,1318605,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",22496000000.0,22496000000,USD,2025-06-30,Q2,2026,2025-04-01,duration,IncomeStatement,false,high,0.9,,,,
us-gaap:Revenues,57606605,1318605,us-gaap:Revenues,Revenues,41831000000.0,41831000000,USD,2025-06-30,Q2,2025,2025-01-01,duration,IncomeStatement,false,high,0.9,0001628280-25-035806,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-035806-index.html
