concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:Assets,57607136,1318605,us-gaap:Assets,Assets,148524000000.0,148524000000,USD,2026-06-30,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,57607135,1318605,us-gaap:Assets,Assets,143724000000.0,143724000000,USD,2026-03-31,Q1,2026,instant,BalanceSheet,false,high,0.9,0001628280-26-026673,10-Q,2026-04-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-026673-index.html
us-gaap:Assets,57607132,1318605,us-gaap:Assets,Assets,137806000000.0,137806000000,USD,2025-12-31,FY,2025,instant,BalanceSheet,true,high,0.9,0001628280-26-003952,10-K,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-003952-index.html
us-gaap:Assets,57607133,1318605,us-gaap:Assets,Assets,137806000000.0,137806000000,USD,2025-12-31,Q1,2026,instant,BalanceSheet,false,high,0.9,0001628280-26-026673,10-Q,2026-04-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-026673-index.html
us-gaap:Assets,57607134,1318605,us-gaap:Assets,Assets,137806000000.0,137806000000,USD,2025-12-31,Q2,2026,instant,BalanceSheet,false,high,0.9,,,,
us-gaap:Assets,57607131,1318605,us-gaap:Assets,Assets,133735000000.0,133735000000,USD,2025-09-30,Q3,2025,instant,BalanceSheet,false,high,0.9,0001628280-25-045968,10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html
us-gaap:Assets,57607130,1318605,us-gaap:Assets,Assets,128567000000.0,128567000000,USD,2025-06-30,Q2,2025,instant,BalanceSheet,false,high,0.9,0001628280-25-035806,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-035806-index.html
us-gaap:Assets,57607129,1318605,us-gaap:Assets,Assets,125111000000.0,125111000000,USD,2025-03-31,Q1,2025,instant,BalanceSheet,false,high,0.9,0001628280-25-018911,10-Q,2025-04-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-018911-index.html
us-gaap:Assets,57607124,1318605,us-gaap:Assets,Assets,122070000000.0,122070000000,USD,2024-12-31,FY,2024,instant,BalanceSheet,true,high,0.9,0001628280-25-003063,10-K,2025-01-30,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-003063-index.html
us-gaap:Assets,57607125,1318605,us-gaap:Assets,Assets,122070000000.0,122070000000,USD,2024-12-31,Q1,2025,instant,BalanceSheet,false,high,0.9,0001628280-25-018911,10-Q,2025-04-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-018911-index.html
us-gaap:Assets,57607126,1318605,us-gaap:Assets,Assets,122070000000.0,122070000000,USD,2024-12-31,Q2,2025,instant,BalanceSheet,false,high,0.9,0001628280-25-035806,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-035806-index.html
us-gaap:Assets,57607127,1318605,us-gaap:Assets,Assets,122070000000.0,122070000000,USD,2024-12-31,Q3,2025,instant,BalanceSheet,false,high,0.9,0001628280-25-045968,10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html
us-gaap:Assets,57607128,1318605,us-gaap:Assets,Assets,122070000000.0,122070000000,USD,2024-12-31,FY,2025,instant,BalanceSheet,true,high,0.9,0001628280-26-003952,10-K,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-26-003952-index.html
us-gaap:Assets,57607123,1318605,us-gaap:Assets,Assets,119852000000.0,119852000000,USD,2024-09-30,Q3,2024,instant,BalanceSheet,false,high,0.9,0001628280-24-043486,10-Q,2024-10-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-24-043486-index.html
us-gaap:Assets,57607122,1318605,us-gaap:Assets,Assets,112832000000.0,112832000000,USD,2024-06-30,Q2,2024,instant,BalanceSheet,false,high,0.9,0001628280-24-032662,10-Q,2024-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-24-032662-index.html
us-gaap:Assets,57607121,1318605,us-gaap:Assets,Assets,109226000000.0,109226000000,USD,2024-03-31,Q1,2024,instant,BalanceSheet,false,high,0.9,0001628280-24-017503,10-Q,2024-04-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-24-017503-index.html
us-gaap:Assets,57607116,1318605,us-gaap:Assets,Assets,106618000000.0,106618000000,USD,2023-12-31,FY,2023,instant,BalanceSheet,true,high,0.9,0001628280-24-002390,10-K,2024-01-29,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-24-002390-index.html
us-gaap:Assets,57607117,1318605,us-gaap:Assets,Assets,106618000000.0,106618000000,USD,2023-12-31,Q1,2024,instant,BalanceSheet,false,high,0.9,0001628280-24-017503,10-Q,2024-04-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-24-017503-index.html
us-gaap:Assets,57607118,1318605,us-gaap:Assets,Assets,106618000000.0,106618000000,USD,2023-12-31,Q2,2024,instant,BalanceSheet,false,high,0.9,0001628280-24-032662,10-Q,2024-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-24-032662-index.html
us-gaap:Assets,57607119,1318605,us-gaap:Assets,Assets,106618000000.0,106618000000,USD,2023-12-31,Q3,2024,instant,BalanceSheet,false,high,0.9,0001628280-24-043486,10-Q,2024-10-24,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-24-043486-index.html
us-gaap:Assets,57607120,1318605,us-gaap:Assets,Assets,106618000000.0,106618000000,USD,2023-12-31,FY,2024,instant,BalanceSheet,true,high,0.9,0001628280-25-003063,10-K,2025-01-30,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-003063-index.html
us-gaap:Assets,57607115,1318605,us-gaap:Assets,Assets,93941000000.0,93941000000,USD,2023-09-30,Q3,2023,instant,BalanceSheet,false,high,0.9,0001628280-23-034847,10-Q,2023-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-23-034847-index.html
us-gaap:Assets,57607114,1318605,us-gaap:Assets,Assets,90591000000.0,90591000000,USD,2023-06-30,Q2,2023,instant,BalanceSheet,false,high,0.9,0000950170-23-033872,10-Q,2023-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-033872-index.html
us-gaap:Assets,57607113,1318605,us-gaap:Assets,Assets,86833000000.0,86833000000,USD,2023-03-31,Q1,2023,instant,BalanceSheet,false,high,0.9,0000950170-23-013890,10-Q,2023-04-24,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-013890-index.html
