ticker,form_type,filing_date,filename,html_filename,size_bytes,char_count,line_count,word_count
AAPL,10-Q-QQ1,2026-05-01,AAPL_10-Q-QQ1_2026-05-01.txt,AAPL_10-Q-QQ1_2026-05-01.html,105061,105061,0,14431
AAPL,10-Q-latest,2026-07-31,AAPL_10-Q-latest_2026-07-31.txt,AAPL_10-Q-latest_2026-07-31.html,103171,103171,0,14231
AAPL,8-K,2026-04-30,AAPL_8-K_2026-04-30.txt,AAPL_8-K_2026-04-30.html,4216,4216,0,587
AAPL,8-K,2026-07-30,AAPL_8-K_2026-07-30.txt,AAPL_8-K_2026-07-30.html,4210,4210,0,587
AMZN,10-Q-QQ1,2026-04-30,AMZN_10-Q-QQ1_2026-04-30.txt,AMZN_10-Q-QQ1_2026-04-30.html,207030,207030,0,28458
AMZN,10-Q-latest,2026-07-31,AMZN_10-Q-latest_2026-07-31.txt,AMZN_10-Q-latest_2026-07-31.html,233699,233699,0,32074
AMZN,8-K,2026-07-09,AMZN_8-K_2026-07-09.txt,AMZN_8-K_2026-07-09.html,9683,9683,0,1387
AMZN,8-K,2026-07-30,AMZN_8-K_2026-07-30.txt,AMZN_8-K_2026-07-30.html,4824,4824,0,634
GOOGL,10-Q-latest,2026-07-23,GOOGL_10-Q-latest_2026-07-23.txt,GOOGL_10-Q-latest_2026-07-23.html,262559,262559,0,35162
GOOGL,8-K,2026-07-22,GOOGL_8-K_2026-07-22.txt,GOOGL_8-K_2026-07-22.html,7771,7771,0,960
MSFT,10-K,2026-07-29,MSFT_10-K_2026-07-29.txt,MSFT_10-K_2026-07-29.html,430643,430643,0,60624
MSFT,10-Q-QQ1,2026-04-29,MSFT_10-Q-QQ1_2026-04-29.txt,MSFT_10-Q-QQ1_2026-04-29.html,320666,320666,0,44974
MSFT,8-K,2026-06-05,MSFT_8-K_2026-06-05.txt,MSFT_8-K_2026-06-05.html,3817,3817,0,519
MSFT,8-K,2026-07-29,MSFT_8-K_2026-07-29.txt,MSFT_8-K_2026-07-29.html,3932,3932,0,569
NVDA,8-K,2026-06-30,NVDA_8-K_2026-06-30.txt,NVDA_8-K_2026-06-30.html,7011,7011,0,1017
NVDA,8-K,2026-07-02,NVDA_8-K_2026-07-02.txt,NVDA_8-K_2026-07-02.html,5486,5486,0,835
TSLA,10-K,2026-01-29,TSLA_10-K_2026-01-29.txt,TSLA_10-K_2026-01-29.html,444095,444095,0,63033
TSLA,10-Q-QQ1,2026-04-23,TSLA_10-Q-QQ1_2026-04-23.txt,TSLA_10-Q-QQ1_2026-04-23.html,154949,154949,0,20913
TSLA,10-Q-latest,2026-07-23,TSLA_10-Q-latest_2026-07-23.txt,TSLA_10-Q-latest_2026-07-23.html,163772,163772,0,21918
TSLA,8-K,2026-07-02,TSLA_8-K_2026-07-02.txt,TSLA_8-K_2026-07-02.html,3149,3149,0,482
TSLA,8-K,2026-07-22,TSLA_8-K_2026-07-22.txt,TSLA_8-K_2026-07-22.html,3343,3343,0,508
